component_id,box_id,first_detected,assignment_method
2199,27,2025-06-15 00:41:26.679421,middle_line
2210,27,2025-06-15 00:41:27.650824,middle_line
2211,51,2025-06-15 00:41:27.650824,middle_line
2212,27,2025-06-15 00:41:28.591972,middle_line
2222,27,2025-06-15 00:41:30.188848,middle_line
2243,27,2025-06-15 00:41:34.200206,middle_line
2245,27,2025-06-15 00:41:35.264616,zone
2251,27,2025-06-15 00:41:36.309899,middle_line
2268,51,2025-06-15 00:41:40.864019,middle_line
2270,51,2025-06-15 00:41:41.024155,middle_line
2273,27,2025-06-15 00:41:41.336255,middle_line
2277,51,2025-06-15 00:41:42.442059,middle_line
2279,51,2025-06-15 00:41:43.575566,zone
2283,51,2025-06-15 00:41:44.216171,zone
2288,51,2025-06-15 00:41:45.186507,middle_line
2290,27,2025-06-15 00:41:45.505382,middle_line
2299,51,2025-06-15 00:41:47.763588,middle_line
2303,27,2025-06-15 00:41:48.560369,middle_line
2310,27,2025-06-15 00:41:50.029160,middle_line
2314,27,2025-06-15 00:41:51.541873,middle_line
2317,51,2025-06-15 00:41:52.183286,zone
2338,27,2025-06-15 00:41:55.554814,middle_line
2341,27,2025-06-15 00:41:56.365667,middle_line
2345,27,2025-06-15 00:41:56.527693,zone
2346,51,2025-06-15 00:41:56.844315,middle_line
2347,51,2025-06-15 00:41:57.982860,middle_line
2349,27,2025-06-15 00:41:58.619508,zone
2354,51,2025-06-15 00:42:00.210634,zone
2363,51,2025-06-15 00:42:01.463874,middle_line
2366,27,2025-06-15 00:42:02.589955,zone
2371,27,2025-06-15 00:42:03.070284,middle_line
2381,27,2025-06-15 00:42:05.180090,middle_line
2383,27,2025-06-15 00:42:05.879472,middle_line
2385,27,2025-06-15 00:42:06.210563,middle_line
2400,27,2025-06-15 00:42:12.663061,middle_line
2344,27,2025-06-15 00:42:15.364676,zone
2415,27,2025-06-15 00:42:17.672968,middle_line
2421,51,2025-06-15 00:42:19.380481,zone
2428,51,2025-06-15 00:42:20.552994,middle_line
2432,51,2025-06-15 00:42:21.103646,middle_line
2438,51,2025-06-15 00:42:21.804572,middle_line
2440,51,2025-06-15 00:42:22.900604,middle_line
2442,51,2025-06-15 00:42:23.263649,middle_line
2446,51,2025-06-15 00:42:24.629195,middle_line
2449,51,2025-06-15 00:42:25.729686,zone
2453,51,2025-06-15 00:42:26.224620,middle_line
2462,51,2025-06-15 00:42:27.702862,middle_line
2473,51,2025-06-15 00:42:29.038143,middle_line
2492,51,2025-06-15 00:42:32.920201,middle_line
2494,27,2025-06-15 00:42:34.056200,zone
2495,51,2025-06-15 00:42:34.056200,middle_line
2503,27,2025-06-15 00:42:34.870463,middle_line
2510,27,2025-06-15 00:42:35.239049,middle_line
2523,51,2025-06-15 00:42:36.047599,middle_line
2526,51,2025-06-15 00:42:36.212034,zone
2423,51,2025-06-15 00:42:37.203910,zone
2540,51,2025-06-15 00:42:38.232241,middle_line
2545,27,2025-06-15 00:42:38.567886,middle_line
2554,51,2025-06-15 00:42:39.288644,middle_line
2559,27,2025-06-15 00:42:39.801765,middle_line
2563,51,2025-06-15 00:42:40.153790,middle_line
2578,51,2025-06-15 00:42:44.841629,middle_line
2582,51,2025-06-15 00:42:45.832167,middle_line
2583,51,2025-06-15 00:42:45.997157,middle_line
2589,51,2025-06-15 00:42:49.948340,middle_line
2590,51,2025-06-15 00:42:49.948340,middle_line
2598,51,2025-06-15 00:42:51.555396,middle_line
2607,51,2025-06-15 00:42:52.844786,middle_line
2611,27,2025-06-15 00:42:53.174634,zone
2614,51,2025-06-15 00:42:53.355891,middle_line
2632,51,2025-06-15 00:42:54.153026,middle_line
2639,27,2025-06-15 00:42:54.627306,middle_line
2645,27,2025-06-15 00:42:54.946916,middle_line
2647,51,2025-06-15 00:42:54.946916,middle_line
2648,27,2025-06-15 00:42:55.113332,middle_line
2656,27,2025-06-15 00:42:55.448662,middle_line
2666,51,2025-06-15 00:42:56.236874,middle_line
2671,51,2025-06-15 00:42:56.710019,middle_line
2673,51,2025-06-15 00:42:56.866010,middle_line
