box_id,first_detected,zone_id,zone_entry_time
293,2025-06-15 00:32:21.514381,1,2025-06-15 00:32:21.514381
294,2025-06-15 00:32:22.776819,,
295,2025-06-15 00:32:22.776819,,
306,2025-06-15 00:32:24.373965,,
311,2025-06-15 00:32:25.167153,1,2025-06-15 00:32:26.776391
320,2025-06-15 00:32:25.978688,1,2025-06-15 00:32:53.411627
321,2025-06-15 00:32:26.294014,,
325,2025-06-15 00:32:26.776391,1,2025-06-15 00:32:53.737739
336,2025-06-15 00:32:30.353654,,
351,2025-06-15 00:32:33.336875,0,2025-06-15 00:32:33.497166
354,2025-06-15 00:32:34.286274,0,2025-06-15 00:32:56.034386
358,2025-06-15 00:32:34.771515,0,2025-06-15 00:32:34.771515
368,2025-06-15 00:32:38.559689,,
375,2025-06-15 00:32:40.954431,0,2025-06-15 00:32:53.249750
379,2025-06-15 00:32:42.484796,,
381,2025-06-15 00:32:42.969933,,
384,2025-06-15 00:32:43.465964,,
411,2025-06-15 00:32:47.707146,0,2025-06-15 00:32:48.573806
400,2025-06-15 00:32:48.217031,,
415,2025-06-15 00:32:48.217031,0,2025-06-15 00:32:53.087690
447,2025-06-15 00:32:53.249750,1,2025-06-15 00:32:53.572686
453,2025-06-15 00:32:54.898444,,
456,2025-06-15 00:32:56.199749,1,2025-06-15 00:34:19.737365
492,2025-06-15 00:33:08.906834,,
495,2025-06-15 00:33:09.078834,0,2025-06-15 00:33:42.375214
500,2025-06-15 00:33:09.402408,,
503,2025-06-15 00:33:10.061953,,
505,2025-06-15 00:33:11.687683,0,2025-06-15 00:33:11.687683
507,2025-06-15 00:33:12.020712,,
512,2025-06-15 00:33:13.977045,,
542,2025-06-15 00:33:20.031032,0,2025-06-15 00:33:42.375214
641,2025-06-15 00:33:43.791904,,
646,2025-06-15 00:33:45.206486,0,2025-06-15 00:33:53.333611
653,2025-06-15 00:33:47.552112,,
680,2025-06-15 00:33:51.368790,0,2025-06-15 00:33:53.333611
701,2025-06-15 00:33:53.982270,0,2025-06-15 00:34:29.632162
713,2025-06-15 00:33:56.990549,,
720,2025-06-15 00:33:57.944122,,
726,2025-06-15 00:34:00.630449,,
733,2025-06-15 00:34:02.348137,,
736,2025-06-15 00:34:03.314700,1,2025-06-15 00:34:03.314700
742,2025-06-15 00:34:05.070260,,
747,2025-06-15 00:34:07.745768,,
775,2025-06-15 00:34:14.829444,,
778,2025-06-15 00:34:15.147905,,
782,2025-06-15 00:34:17.082660,1,2025-06-15 00:34:26.024828
784,2025-06-15 00:34:17.569264,1,2025-06-15 00:34:19.569517
792,2025-06-15 00:34:21.058797,,
794,2025-06-15 00:34:22.913983,,
802,2025-06-15 00:34:24.517930,0,2025-06-15 00:34:29.632162
813,2025-06-15 00:34:26.214570,,
817,2025-06-15 00:34:27.510898,0,2025-06-15 00:34:41.626899
820,2025-06-15 00:34:27.841420,,
823,2025-06-15 00:34:31.540387,,
825,2025-06-15 00:34:32.491076,1,2025-06-15 00:34:47.355743
830,2025-06-15 00:34:35.181546,0,2025-06-15 00:34:41.146001
832,2025-06-15 00:34:35.881663,1,2025-06-15 00:34:36.200722
836,2025-06-15 00:34:38.153309,,
845,2025-06-15 00:34:42.433252,0,2025-06-15 00:34:45.923393
847,2025-06-15 00:34:42.753498,,
850,2025-06-15 00:34:44.182438,1,2025-06-15 00:34:44.502335
853,2025-06-15 00:34:44.662824,0,2025-06-15 00:34:44.662824
854,2025-06-15 00:34:45.923393,,
859,2025-06-15 00:34:48.166677,,
871,2025-06-15 00:34:50.734240,,
892,2025-06-15 00:34:54.541199,0,2025-06-15 00:35:11.723639
895,2025-06-15 00:34:56.523249,1,2025-06-15 00:34:56.523249
912,2025-06-15 00:34:59.311228,,
923,2025-06-15 00:35:01.537073,1,2025-06-15 00:35:19.350474
930,2025-06-15 00:35:02.860779,,
938,2025-06-15 00:35:04.200060,,
939,2025-06-15 00:35:04.360311,0,2025-06-15 00:35:08.641196
971,2025-06-15 00:35:11.377668,1,2025-06-15 00:35:30.055001
980,2025-06-15 00:35:14.086427,0,2025-06-15 00:35:23.582317
993,2025-06-15 00:35:16.250391,,
994,2025-06-15 00:35:16.446627,,
1001,2025-06-15 00:35:17.108592,,
1019,2025-06-15 00:35:20.469835,,
1020,2025-06-15 00:35:23.421953,,
1023,2025-06-15 00:35:26.354862,,
1039,2025-06-15 00:35:29.266711,1,2025-06-15 00:35:35.892116
1055,2025-06-15 00:35:35.409756,0,2025-06-15 00:35:42.116203
1073,2025-06-15 00:35:41.476173,0,2025-06-15 00:35:49.941441
1074,2025-06-15 00:35:41.633086,0,2025-06-15 00:35:41.956717
1099,2025-06-15 00:35:48.811524,1,2025-06-15 00:35:58.433201
1100,2025-06-15 00:35:48.972337,,
1122,2025-06-15 00:35:57.283452,0,2025-06-15 00:36:16.863754
1126,2025-06-15 00:35:58.264955,,
1132,2025-06-15 00:36:04.149122,1,2025-06-15 00:36:24.776576
1140,2025-06-15 00:36:07.028284,0,2025-06-15 00:36:26.866286
1143,2025-06-15 00:36:10.262747,,
1147,2025-06-15 00:36:13.671741,0,2025-06-15 00:36:14.307113
1152,2025-06-15 00:36:15.578566,,
1164,2025-06-15 00:36:18.924135,,
1173,2025-06-15 00:36:19.421545,,
1178,2025-06-15 00:36:22.247674,,
1180,2025-06-15 00:36:22.405195,1,2025-06-15 00:36:32.485056
1185,2025-06-15 00:36:23.984346,,
1187,2025-06-15 00:36:24.614633,1,2025-06-15 00:36:24.614633
1202,2025-06-15 00:36:26.224222,0,2025-06-15 00:36:26.866286
1208,2025-06-15 00:36:28.192313,,
1211,2025-06-15 00:36:29.170363,,
1214,2025-06-15 00:36:29.514464,,
1218,2025-06-15 00:36:30.007543,,
1221,2025-06-15 00:36:30.331165,,
1235,2025-06-15 00:36:32.967492,0,2025-06-15 00:36:35.864548
1241,2025-06-15 00:36:36.359994,,
1242,2025-06-15 00:36:36.359994,,
1253,2025-06-15 00:36:39.353240,0,2025-06-15 00:37:06.459155
1266,2025-06-15 00:36:45.334767,1,2025-06-15 00:36:53.721459
1269,2025-06-15 00:36:45.974910,,
1271,2025-06-15 00:36:47.112269,,
1275,2025-06-15 00:36:48.553207,,
1283,2025-06-15 00:36:53.388583,,
1284,2025-06-15 00:36:53.886786,0,2025-06-15 00:36:54.371089
1299,2025-06-15 00:36:57.579288,,
1302,2025-06-15 00:36:58.375420,0,2025-06-15 00:37:06.459155
1310,2025-06-15 00:37:01.830004,,
1316,2025-06-15 00:37:03.565094,,
1326,2025-06-15 00:37:06.136040,,
1327,2025-06-15 00:37:06.459155,,
1337,2025-06-15 00:37:08.249052,,
1339,2025-06-15 00:37:08.900952,1,2025-06-15 00:37:14.779163
1348,2025-06-15 00:37:11.895070,,
1349,2025-06-15 00:37:13.021393,0,2025-06-15 00:37:18.502550
1375,2025-06-15 00:37:22.879932,,
1379,2025-06-15 00:37:23.212540,,
1439,2025-06-15 00:37:36.562664,,
1464,2025-06-15 00:37:43.663640,0,2025-06-15 00:37:56.361628
1471,2025-06-15 00:37:44.312548,,
1474,2025-06-15 00:37:45.722200,1,2025-06-15 00:37:46.046147
1518,2025-06-15 00:38:00.862855,,
1571,2025-06-15 00:38:18.026043,,
1603,2025-06-15 00:38:23.260554,0,2025-06-15 00:38:23.260554
1630,2025-06-15 00:38:27.787464,1,2025-06-15 00:39:05.043662
1666,2025-06-15 00:38:34.122486,0,2025-06-15 00:38:39.053465
1679,2025-06-15 00:38:36.249272,0,2025-06-15 00:38:42.288874
1740,2025-06-15 00:38:45.925616,,
1771,2025-06-15 00:38:49.730394,,
1775,2025-06-15 00:38:50.492644,0,2025-06-15 00:39:07.892579
1778,2025-06-15 00:38:50.792473,,
1781,2025-06-15 00:38:50.950024,,
1815,2025-06-15 00:38:54.796798,,
1823,2025-06-15 00:38:55.390919,,
1824,2025-06-15 00:38:55.542314,1,2025-06-15 00:39:16.473336
1825,2025-06-15 00:38:55.542314,,
1842,2025-06-15 00:38:59.677393,,
1878,2025-06-15 00:39:04.565527,1,2025-06-15 00:39:05.043662
1895,2025-06-15 00:39:05.864856,,
1898,2025-06-15 00:39:06.177696,0,2025-06-15 00:39:07.272128
1900,2025-06-15 00:39:06.335482,0,2025-06-15 00:39:11.416382
1923,2025-06-15 00:39:11.591161,0,2025-06-15 00:39:14.448246
1940,2025-06-15 00:39:15.837570,1,2025-06-15 00:39:15.990835
1952,2025-06-15 00:39:18.985966,0,2025-06-15 00:40:35.567972
2028,2025-06-15 00:40:36.198586,,
2059,2025-06-15 00:40:46.252748,1,2025-06-15 00:40:46.252748
2062,2025-06-15 00:40:46.403059,0,2025-06-15 00:40:56.475994
2089,2025-06-15 00:40:53.809049,,
2091,2025-06-15 00:40:54.473294,,
2095,2025-06-15 00:40:55.978401,1,2025-06-15 00:41:08.629886
2098,2025-06-15 00:40:58.137136,,
2108,2025-06-15 00:40:59.122053,1,2025-06-15 00:40:59.122053
2130,2025-06-15 00:41:05.582218,0,2025-06-15 00:41:19.368745
2143,2025-06-15 00:41:07.838714,,
2187,2025-06-15 00:41:22.596857,,
2188,2025-06-15 00:41:24.407154,1,2025-06-15 00:41:32.636818
2224,2025-06-15 00:41:30.665275,,
2225,2025-06-15 00:41:30.665275,0,2025-06-15 00:41:34.919262
2245,2025-06-15 00:41:35.606049,1,2025-06-15 00:41:35.606049
2248,2025-06-15 00:41:35.606049,1,2025-06-15 00:41:35.606049
2254,2025-06-15 00:41:37.181999,,
2255,2025-06-15 00:41:38.496349,1,2025-06-15 00:41:38.496349
2256,2025-06-15 00:41:39.278950,1,2025-06-15 00:41:50.366598
2291,2025-06-15 00:41:46.457877,0,2025-06-15 00:41:50.366598
2328,2025-06-15 00:41:53.794885,,
2333,2025-06-15 00:41:54.270215,1,2025-06-15 00:41:55.236840
2336,2025-06-15 00:41:54.430216,1,2025-06-15 00:41:55.074821
2337,2025-06-15 00:41:55.074821,,
2344,2025-06-15 00:41:56.527693,1,2025-06-15 00:42:15.209586
2380,2025-06-15 00:42:04.365015,0,2025-06-15 00:42:35.239049
2390,2025-06-15 00:42:09.150891,,
2398,2025-06-15 00:42:12.505045,,
2406,2025-06-15 00:42:13.779067,1,2025-06-15 00:42:18.645650
2411,2025-06-15 00:42:15.541969,,
2412,2025-06-15 00:42:15.702143,1,2025-06-15 00:42:18.173174
2414,2025-06-15 00:42:16.851858,,
2423,2025-06-15 00:42:19.953729,,
2454,2025-06-15 00:42:26.405476,0,2025-06-15 00:42:32.255733
2474,2025-06-15 00:42:29.359503,0,2025-06-15 00:42:35.239049
2511,2025-06-15 00:42:35.239049,1,2025-06-15 00:42:52.658711
2555,2025-06-15 00:42:39.467513,,
2565,2025-06-15 00:42:41.424993,,
2566,2025-06-15 00:42:41.782536,,
2568,2025-06-15 00:42:42.141649,1,2025-06-15 00:43:04.769672
2573,2025-06-15 00:42:43.364737,,
2577,2025-06-15 00:42:44.671426,0,2025-06-15 00:42:47.484254
2586,2025-06-15 00:42:47.646144,1,2025-06-15 00:42:52.658711
2603,2025-06-15 00:42:52.343988,,
2660,2025-06-15 00:42:55.610041,,
2677,2025-06-15 00:42:57.212019,1,2025-06-15 00:42:57.212019
2761,2025-06-15 00:43:08.097124,,
2780,2025-06-15 00:43:10.071065,,
2782,2025-06-15 00:43:10.071065,,
2786,2025-06-15 00:43:11.692476,,
2824,2025-06-15 00:43:16.773200,,
2854,2025-06-15 00:43:23.670069,,
2888,2025-06-15 00:43:28.703782,1,2025-06-15 00:43:48.726297
2896,2025-06-15 00:43:29.673135,1,2025-06-15 00:43:58.596003
2910,2025-06-15 00:43:33.259965,,
2931,2025-06-15 00:43:40.732536,,
2950,2025-06-15 00:43:48.567313,0,2025-06-15 00:43:51.356014
2964,2025-06-15 00:43:54.459453,1,2025-06-15 00:44:05.682320
2979,2025-06-15 00:44:01.371908,,
2986,2025-06-15 00:44:05.682320,0,2025-06-15 00:44:08.492303
2990,2025-06-15 00:44:07.827015,1,2025-06-15 00:44:11.087566
2993,2025-06-15 00:44:08.326314,1,2025-06-15 00:44:22.555862
2997,2025-06-15 00:44:09.455724,,
2998,2025-06-15 00:44:09.455724,1,2025-06-15 00:44:09.455724
3015,2025-06-15 00:44:12.095954,,
3018,2025-06-15 00:44:12.881384,1,2025-06-15 00:44:12.881384
3021,2025-06-15 00:44:13.663534,,
3035,2025-06-15 00:44:15.277719,,
3061,2025-06-15 00:44:18.576094,,
3067,2025-06-15 00:44:21.519353,0,2025-06-15 00:44:31.413522
3070,2025-06-15 00:44:23.730803,1,2025-06-15 00:44:35.730113
3087,2025-06-15 00:44:28.297631,1,2025-06-15 00:44:28.297631
3103,2025-06-15 00:44:30.894244,0,2025-06-15 00:44:30.894244
3110,2025-06-15 00:44:33.239803,,
3121,2025-06-15 00:44:35.078232,,
3131,2025-06-15 00:44:37.500849,0,2025-06-15 00:44:37.500849
3132,2025-06-15 00:44:42.195648,1,2025-06-15 00:44:42.195648
3165,2025-06-15 00:44:44.971792,0,2025-06-15 00:44:44.971792
3169,2025-06-15 00:44:45.857611,,
3170,2025-06-15 00:44:46.183631,0,2025-06-15 00:44:46.500168
3177,2025-06-15 00:44:46.994462,,
3181,2025-06-15 00:44:47.350830,1,2025-06-15 00:45:02.539249
3190,2025-06-15 00:44:50.085789,,
3204,2025-06-15 00:44:51.948935,,
3218,2025-06-15 00:44:53.487854,,
3239,2025-06-15 00:44:56.100136,0,2025-06-15 00:45:32.934721
3275,2025-06-15 00:45:00.572200,,
3282,2025-06-15 00:45:01.714951,1,2025-06-15 00:45:02.539249
3318,2025-06-15 00:45:06.288305,1,2025-06-15 00:45:17.581682
3330,2025-06-15 00:45:12.329598,1,2025-06-15 00:45:12.329598
3342,2025-06-15 00:45:16.322146,,
3362,2025-06-15 00:45:23.294895,,
3364,2025-06-15 00:45:24.025656,,
3401,2025-06-15 00:45:32.121876,0,2025-06-15 00:45:32.770304
3405,2025-06-15 00:45:33.422517,,
3410,2025-06-15 00:45:36.857712,0,2025-06-15 00:45:42.361406
3425,2025-06-15 00:45:40.491814,1,2025-06-15 00:45:40.491814
3430,2025-06-15 00:45:42.854670,1,2025-06-15 00:45:45.951133
3432,2025-06-15 00:45:43.171714,,
3471,2025-06-15 00:45:59.113584,,
3477,2025-06-15 00:46:00.845424,,
3484,2025-06-15 00:46:05.126943,,
3490,2025-06-15 00:46:07.805337,,
